hormone,feature,importance
lh,stress_score,0.085870825
lh,lightly,0.12008128
lh,total_activity,0.1110952
lh,very,0.10314438
lh,moderately,0.12274395
lh,minutesawake,0.17116903
lh,stress_sleep_ratio,0.049588848
lh,intense_ratio,0.11903164
lh,resting_hr,0.039633013
lh,minutesasleep,0.077641904
estrogen,stress_score,0.14692353
estrogen,lightly,0.20685248
estrogen,total_activity,0.10037828
estrogen,very,0.15415455
estrogen,moderately,0.07986258
estrogen,minutesawake,0.049380958
estrogen,stress_sleep_ratio,0.13016368
estrogen,intense_ratio,0.08551924
estrogen,resting_hr,0.021525355
estrogen,minutesasleep,0.02523938
pdg,stress_score,0.11814142
pdg,lightly,0.11396102
pdg,total_activity,0.15784167
pdg,very,0.23257601
pdg,moderately,0.098639905
pdg,minutesawake,0.024273034
pdg,stress_sleep_ratio,0.062119
pdg,intense_ratio,0.12609708
pdg,resting_hr,0.030416034
pdg,minutesasleep,0.03593486
